date,NO2,CO,SO2,O3
2025-07-01,1.827107607674466e-05,0.0278608500957489,3.055666872699346e-05,0.1136205129118429
2025-07-02,2.7317874780912404e-05,0.0261533260345459,1.0625408454374833e-05,0.1116354551373256
2025-07-03,1.9482658230016463e-05,0.027622902393341,0.0001704649637556,0.1111134905368089
2025-07-04,2.1930806286718508e-05,0.0268239498138427,-0.0001989044010257,0.1116528937386141
2025-07-05,2.8470854372046787e-05,0.0252162904450387,-0.0002164720324799,0.1113747818809416
2025-07-06,1.984957401456692e-05,0.0249898585406216,-9.292633448903624e-05,0.1107424087822437
2025-07-07,2.405993001954147e-05,0.0261612556598804,-0.0001925417687743,0.1127036228362056
2025-07-08,2.2471460840454368e-05,0.0223266817629337,-0.0001197334115757,0.1125059832508365
2025-07-09,2.0013468917075745e-05,0.0263540890158676,-3.138422875458168e-05,0.113450370910691
2025-07-10,2.407876578824168e-05,0.0295144369204839,0.0005849781559734,0.1148874251585867
2025-07-11,3.3237509916561016e-05,0.0303304834025246,0.0002474853406763,0.113760073048373
2025-07-13,1.0427603594820312e-05,0.0247905841240516,0.0007266642614489,0.113025904012223
2025-07-14,1.1329194186997014e-05,0.0250790454447269,1.9833020380009776e-06,0.1133973192837503
2025-07-15,1.218962504026422e-05,0.0243658952310051,-6.250209278530545e-05,0.1130776958954003
2025-07-16,1.9377012186073376e-05,0.0256015887627234,0.0004142228927877,0.1130097800244887
2025-07-17,3.332098428828708e-05,0.024769432404462,0.0001243177232229,0.1135582379582855
2025-07-18,3.660225295774463e-05,0.0255477174799493,0.0002070644843405,0.1128728481837444
2025-07-19,1.8947129319712985e-05,0.0254940294450329,0.0001499539698069,0.1131647027408083
2025-07-20,1.7131976301062956e-05,0.0280726701021194,-4.347159928228292e-06,0.1127729650793804
2025-07-21,2.0574333085768067e-05,0.0280046756450946,-9.463056921958924e-05,0.1153969306291805
2025-07-22,1.1044441210697829e-05,0.0259019405611099,-8.227630252284663e-05,0.1138794048585825
2025-07-23,2.5571437072358093e-05,0.0242624209477351,-5.144550139823604e-06,0.1120486128040486
2025-07-24,1.9645684785375905e-05,0.0280826772962297,5.094184934233244e-05,0.11379602096147
